employee_id,gender,caste,location,department,task_type,task_count,avg_task_complexity,promotion_track
E0001,Female,General,Metro,Finance,routine,46,2.4,0
E0002,Male,General,Tier-2,Engineering,routine,32,2.7,0
E0003,Female,OBC,Tier-2,Ops,high_value,18,4.9,1
E0004,Male,General,Metro,Engineering,routine,8,2.8,0
E0005,Female,General,Tier-2,Finance,high_value,24,3.8,1
E0006,Male,General,Metro,HR,high_value,38,4.0,1
E0007,Female,General,Rural,Engineering,high_value,16,3.7,1
E0008,Male,General,Rural,Engineering,high_value,37,4.1,0
E0009,Male,OBC,Metro,Ops,high_value,28,3.9,0
E0010,Male,General,Rural,Ops,high_value,24,3.7,1
E0011,Female,General,Metro,Engineering,routine,9,3.3,0
E0012,Female,General,Metro,Engineering,high_value,42,3.7,0
E0013,Female,General,Rural,Ops,high_value,34,3.2,0
E0014,Male,General,Tier-2,Finance,routine,28,1.9,0
E0015,Male,General,Tier-2,Sales,high_value,47,4.3,1
E0016,Female,OBC,Metro,Sales,high_value,44,4.8,0
E0017,Male,General,Metro,Engineering,high_value,11,3.7,0
E0018,Female,General,Rural,Ops,high_value,40,4.0,0
E0019,Female,General,Metro,HR,high_value,42,5.0,1
E0020,Female,OBC,Metro,HR,routine,20,2.9,0
E0021,Male,SC,Tier-2,Sales,admin,19,2.1,0
E0022,Male,General,Tier-2,Finance,high_value,27,5.0,1
E0023,Male,ST,Tier-2,Sales,routine,16,2.5,0
E0024,Female,General,Metro,Engineering,routine,33,2.7,0
E0025,Male,SC,Metro,Finance,admin,48,1.0,0
E0026,Male,General,Metro,HR,high_value,19,4.6,0
E0027,Male,OBC,Rural,Ops,high_value,33,4.4,0
E0028,Male,OBC,Metro,Ops,routine,49,2.1,0
E0029,Female,General,Tier-2,Engineering,routine,47,2.9,0
E0030,Female,SC,Tier-2,Sales,admin,25,1.4,0
E0031,Male,SC,Rural,Engineering,high_value,19,3.5,0
E0032,Male,General,Rural,Ops,high_value,18,3.5,0
E0033,Female,General,Metro,HR,high_value,46,3.3,0
E0034,Male,General,Metro,Ops,admin,48,1.2,0
E0035,Female,SC,Tier-2,Finance,admin,20,1.0,0
E0036,Female,OBC,Metro,Ops,high_value,19,4.3,0
E0037,Male,General,Tier-2,Ops,high_value,46,3.5,0
E0038,Female,OBC,Tier-2,Finance,admin,8,1.0,0
E0039,Female,SC,Rural,Sales,high_value,31,3.8,1
E0040,Male,OBC,Metro,Ops,high_value,27,4.3,0
E0041,Male,SC,Rural,Engineering,routine,33,1.4,0
E0042,Male,SC,Metro,Ops,routine,45,2.2,0
E0043,Male,General,Tier-2,Engineering,routine,13,2.2,0
E0044,Female,General,Metro,Finance,routine,47,2.6,0
E0045,Female,SC,Tier-2,Ops,admin,47,2.4,0
E0046,Female,General,Metro,Finance,routine,11,2.7,0
E0047,Male,ST,Rural,Finance,admin,46,1.0,0
E0048,Male,General,Rural,Sales,high_value,8,3.4,1
E0049,Female,General,Rural,Ops,routine,9,2.5,0
E0050,Male,ST,Metro,Engineering,routine,9,2.2,0
E0051,Female,OBC,Rural,Engineering,high_value,15,3.9,0
E0052,Male,General,Tier-2,Ops,high_value,45,4.6,1
E0053,Female,SC,Metro,Sales,admin,32,1.7,0
E0054,Female,OBC,Metro,Sales,admin,20,1.1,0
E0055,Male,OBC,Metro,Sales,high_value,45,4.2,0
E0056,Male,General,Metro,Engineering,high_value,34,3.6,0
E0057,Male,SC,Tier-2,Finance,routine,8,2.6,0
E0058,Male,SC,Rural,Sales,routine,6,2.0,0
E0059,Female,General,Metro,Engineering,routine,7,2.4,0
E0060,Female,SC,Tier-2,Engineering,routine,25,3.0,0
E0061,Female,SC,Rural,Finance,high_value,10,3.2,1
E0062,Female,OBC,Metro,Ops,high_value,47,3.3,1
E0063,Male,OBC,Rural,Ops,admin,22,1.9,0
E0064,Male,General,Tier-2,Sales,routine,48,1.7,0
E0065,Male,General,Tier-2,Sales,routine,9,3.0,0
E0066,Female,OBC,Metro,Finance,admin,13,1.0,0
E0067,Male,SC,Tier-2,Sales,high_value,24,3.7,1
E0068,Female,OBC,Metro,Finance,routine,32,1.8,0
E0069,Male,OBC,Tier-2,Engineering,routine,30,2.5,0
E0070,Female,General,Metro,Sales,routine,22,2.0,0
E0071,Female,General,Rural,Engineering,high_value,23,4.3,0
E0072,Male,General,Metro,HR,high_value,7,3.9,1
E0073,Male,General,Metro,Finance,routine,13,2.3,0
E0074,Female,OBC,Tier-2,HR,routine,40,2.4,0
E0075,Male,General,Metro,Sales,high_value,35,4.0,0
E0076,Male,SC,Tier-2,Engineering,routine,21,2.6,0
E0077,Female,General,Rural,Sales,high_value,27,4.4,1
E0078,Male,OBC,Tier-2,HR,high_value,38,4.4,1
E0079,Female,OBC,Metro,Sales,high_value,45,4.3,1
E0080,Female,General,Tier-2,Ops,routine,45,3.0,0
E0081,Male,General,Tier-2,HR,high_value,9,4.7,0
E0082,Male,General,Rural,Sales,high_value,19,4.3,1
E0083,Male,SC,Metro,Engineering,routine,7,2.4,0
E0084,Female,General,Tier-2,Sales,admin,23,1.0,0
E0085,Male,OBC,Tier-2,Engineering,high_value,32,4.5,1
E0086,Female,ST,Metro,Ops,high_value,7,3.3,0
E0087,Male,SC,Metro,Sales,high_value,42,3.5,1
E0088,Male,General,Metro,Ops,admin,8,2.1,0
E0089,Male,ST,Rural,HR,high_value,28,3.8,1
E0090,Male,General,Rural,Engineering,admin,35,1.1,0
E0091,Male,General,Tier-2,HR,routine,49,2.5,0
E0092,Female,SC,Metro,Engineering,admin,49,1.2,0
E0093,Male,OBC,Metro,Ops,high_value,15,3.4,1
E0094,Male,General,Rural,Finance,high_value,41,4.7,1
E0095,Male,General,Rural,Sales,routine,5,2.8,0
E0096,Female,General,Rural,Ops,admin,13,1.7,0
E0097,Female,OBC,Tier-2,Engineering,admin,21,1.7,0
E0098,Male,General,Metro,Engineering,high_value,5,4.7,0
E0099,Female,ST,Rural,Engineering,admin,7,1.9,0
E0100,Male,ST,Metro,Engineering,admin,30,2.3,0
E0101,Female,SC,Metro,Sales,high_value,35,3.5,1
E0102,Male,General,Tier-2,HR,high_value,30,3.1,1
E0103,Male,OBC,Metro,Finance,routine,27,3.2,0
E0104,Female,ST,Metro,Sales,routine,34,2.8,0
E0105,Male,SC,Metro,Engineering,high_value,14,4.5,1
E0106,Female,General,Metro,Sales,high_value,12,3.8,0
E0107,Male,General,Rural,Ops,high_value,48,4.1,0
E0108,Female,General,Metro,Engineering,routine,29,2.9,0
E0109,Female,OBC,Metro,Finance,admin,26,1.0,0
